year,state,forest_cover_percentage,deforestation_rate
2010,Johor,65.92005691909694,1.4781701138120362
2011,Johor,62.90439108860389,3.0156658304930457
2012,Johor,60.87220145593609,2.0321896326677953
2013,Johor,59.5616497121348,1.3105517438012855
2014,Johor,56.94572544383032,2.615924268304486
2015,Johor,55.27493022440668,1.6707952194236417
2016,Johor,52.901539902222616,2.3733903221840613
2017,Johor,50.5832899551919,2.318249947030712
2018,Johor,48.860702542787415,1.722587412404492
2019,Johor,47.25859737324645,1.602105169540959
2020,Johor,46.06674915052956,1.191848222716893
2021,Johor,44.93631914453945,1.1304300059901071
2022,Johor,44.10136621527242,0.8349529292670358
2023,Johor,42.78929732642422,1.312068888848199
2001,Johor,81.51766820037824,2.2896857678715765
2002,Johor,79.66607114363963,1.8515970567386089
2003,Johor,78.96038943543894,0.7056817082006921
2004,Johor,76.83570627025584,2.1246831651830904
2005,Johor,74.5317384128047,2.303967857451144
2006,Johor,72.62154816804735,1.9101902447573482
2007,Johor,70.57036806461991,2.05118010342744
2008,Johor,69.6037897236965,0.9665783409234182
2009,Johor,67.1673070936994,2.4364826299970965
2010,Johor,65.68934624127316,1.4779608524262549
2011,Johor,62.67409893355166,3.0152473077214834
2012,Johor,60.6426417157341,2.0314572178175605
2013,Johor,59.33318859420817,1.309453121525934
2014,Johor,56.72082176946196,2.612366824746205
2015,Johor,55.052746948053475,1.668074821408486
2016,Johor,52.68474510655328,2.368001841500195
2017,Johor,50.370785017931084,2.3139600886221965
2018,Johor,48.651859679777765,1.7189253381533205
2019,Johor,47.05341658448798,1.598443095289788
2020,Johor,45.8652827513687,1.1881338331192763
2021,Johor,44.73846250428332,1.1268202470853812
2022,Johor,43.907067018574566,0.8313954857087552
2023,Johor,42.60295006238605,1.304116956188513
2001,Johor,81.09297221793527,2.286337585699077
2002,Johor,79.2431538829758,1.8498183349594688
2003,Johor,78.53804764358601,0.7051062393897938
2004,Johor,76.41477699275694,2.1232706508290673
2005,Johor,74.1124309110456,2.3023460817113395
2006,Johor,72.2029730811385,1.909457829907114
2007,Johor,70.15236844652193,2.0506046346165414
2008,Johor,69.18615631302364,0.9662121334983012
2009,Johor,66.75035378253034,2.4358025304933077
2010,Johor,65.27270682218276,1.4776469603475832
2011,Johor,62.258244244657945,3.014462577524804
2012,Johor,60.22814722584796,2.030097018809983
2013,Johor,58.92104829491207,1.3070989309358954
2014,Johor,56.31595330332176,2.605094991590308
2015,Johor,54.652482232400466,1.6634710709212994
2016,Johor,52.29494346018932,2.357538772211134
2017,Johor,49.9897200344235,2.3052234257658313
2018,Johor,48.277072537843615,1.7126474965798844
2019,Johor,46.68605822174906,1.5910143160945547
2020,Johor,45.503992968817435,1.1820652529316211
2021,Johor,44.38428760884862,1.11970535996882
2022,Johor,43.558594495902405,0.8256931129462173
2023,Johor,42.26635312335697,1.2922413725454294
2001,Johor,78.90483053751403,2.2562562614930277
2002,Johor,77.07175311341705,1.8330774240969718
2003,Johor,76.37339555371871,0.6983575596983497
2004,Johor,74.2689061122635,2.1044894414552036
2005,Johor,71.9868060696265,2.282100042637007
2006,Johor,70.08802057039422,1.8987854992322721
2007,Johor,68.04735585160229,2.040664718791934
2008,Johor,67.0854335765125,0.9619222750897861
2009,Johor,64.65889086234002,2.4265427141724887
2010,Johor,63.185272183668715,1.4736186786712948
2011,Johor,60.17897080018938,3.0063013834793364
2012,Johor,58.1589183278969,2.0200524722924844
2013,Johor,56.86672927069792,1.292189057198984
2014,Johor,54.301080050327364,2.5656492203705494
2015,Johor,52.66371433728227,1.6373657130450932
2016,Johor,50.35932795705956,2.3043863802227063
2017,Johor,48.10024666685849,2.259081290201074
2018,Johor,46.424690750908326,1.6755559159501645
2019,Johor,44.87422082830888,1.550469922599445
2020,Johor,43.72375404463022,1.1504667836786582
2021,Johor,42.63925691281909,1.0844971318111312
2022,Johor,41.842965024575136,0.7962918882439569
2023,Johor,40.61093861578825,1.2320264087868855
2001,Johor,70.70152263815828,2.1049602795732114
2002,Johor,68.97898754110024,1.7225350970580464
2003,Johor,68.33053882191071,0.6484487191895306
2004,Johor,66.37373560347059,1.9568032184401132
2005,Johor,64.24089124424204,2.132844359228558
2006,Johor,62.427432075062065,1.813459169179983
2007,Johor,60.467228359103,1.960203715959058
2008,Johor,59.54171756513914,0.9255107939638553
2009,Johor,57.1959497458782,2.3457678192609412
2010,Johor,55.75858560229351,1.4373641435846998
2011,Johor,52.81600431078455,2.9425812915089575
