YEAR,STATE,forest_cover_percentage,deforestation_rate,flood_occurrences,TOTAL_RAINFALL,ANNUAL RAINFALL,has_flood_data
2004,Melaka,63.38034981227669,0.7660078716831012,6.0,2292.023333333333,2292.023333333333,true
2004,Melaka,62.71288912534839,0.7660078716831012,6.0,2292.023333333333,2292.023333333333,true
2004,Melaka,59.29880352835196,0.7569391123498365,6.0,2292.023333333333,2292.023333333333,true
2004,Melaka,49.03357254705175,0.686202789550371,6.0,2292.023333333333,2292.023333333333,true
2005,Melaka,92.17184694352582,2.3252298930490984,4.0,2266.9500000000003,2266.951666666667,true
2005,Melaka,63.172372931567146,2.3149519658047315,4.0,2266.9500000000003,2266.951666666667,true
2005,Melaka,62.1736002369969,2.311929046026977,4.0,2266.9500000000003,2266.951666666667,true
2005,Melaka,61.47832868811327,2.3070923743825684,4.0,2266.9500000000003,2266.951666666667,true
2005,Melaka,61.07446660580521,2.3058832064714667,4.0,2266.9500000000003,2266.951666666667,true
2005,Melaka,60.40942425469913,2.3034648706492624,4.0,2266.9500000000003,2266.951666666667,true
2005,Melaka,57.0225449357025,2.276258592649468,4.0,2266.9500000000003,2266.951666666667,true
2005,Melaka,46.981614601911694,2.051957945140052,4.0,2266.9500000000003,2266.951666666667,true
2006,Melaka,91.07754998397851,1.0942969595472876,0.0,2448.23,2448.233333333333,true
2006,Melaka,62.081098891797616,1.0912740397695324,0.0,2448.23,2448.233333333333,true
2006,Melaka,61.08293078118293,1.0906694558139816,0.0,2448.23,2448.233333333333,true
2006,Melaka,60.38826381625484,1.0900648718584305,0.0,2448.23,2448.233333333333,true
2006,Melaka,59.98440173394678,1.0900648718584305,0.0,2448.23,2448.233333333333,true
2006,Melaka,59.31996396679625,1.0894602879028796,0.0,2448.23,2448.233333333333,true
2006,Melaka,55.94094423922178,1.0816006964807168,0.0,2448.23,2448.233333333333,true
2006,Melaka,45.98163273943036,0.9999818624813336,0.0,2448.23,2448.233333333333,true
2007,Melaka,89.02861495861623,2.048935025362297,5.0,2634.5516666666667,2634.5483333333336,true
2007,Melaka,60.03941887390193,2.0416800178956853,5.0,2634.5516666666667,2634.5483333333336,true
2007,Melaka,59.0430645151539,2.039866266029032,5.0,2634.5516666666667,2634.5483333333336,true
2007,Melaka,58.35081588604801,2.037447930206828,5.0,2634.5516666666667,2634.5483333333336,true
2007,Melaka,57.948162971651065,2.036238762295726,5.0,2634.5516666666667,2634.5483333333336,true
2007,Melaka,57.28493437241162,2.035029594384624,5.0,2634.5516666666667,2634.5483333333336,true
2007,Melaka,53.92284299559258,2.0181012436291965,5.0,2634.5516666666667,2634.5483333333336,true
2007,Melaka,44.09533079811128,1.886301941319081,5.0,2634.5516666666667,2634.5483333333336,true
2008,Melaka,87.80554161653657,1.2230733420796478,4.0,2746.9966666666664,2746.99,true
2008,Melaka,58.819973035555584,1.219445838346342,4.0,2746.9966666666664,2746.99,true
2008,Melaka,57.82422326076311,1.218841254390791,4.0,2746.9966666666664,2746.99,true
2008,Melaka,57.13318379956833,1.217632086479689,4.0,2746.9966666666664,2746.99,true
2008,Melaka,56.73174005308247,1.216422918568587,4.0,2746.9966666666664,2746.99,true
2008,Melaka,56.06851145384304,1.216422918568587,4.0,2746.9966666666664,2746.99,true
2008,Melaka,52.717907172179466,1.2049358234131182,4.0,2746.9966666666664,2746.99,true
2008,Melaka,42.98833757549742,1.1069932226138584,4.0,2746.9966666666664,2746.99,true
2009,Melaka,85.8019503878406,2.003591228695973,5.0,2835.5033333333336,2835.508333333333,true
2009,Melaka,56.821823062459565,1.998149973096014,5.0,2835.5033333333336,2835.508333333333,true
2009,Melaka,55.8272824555782,1.996940805184912,5.0,2835.5033333333336,2835.508333333333,true
2009,Melaka,55.13805674625007,1.9951270533182592,5.0,2835.5033333333336,2835.508333333333,true
2009,Melaka,54.73721758371977,1.994522469362708,5.0,2835.5033333333336,2835.508333333333,true
2009,Melaka,54.07519815239144,1.993313301451606,5.0,2835.5033333333336,2835.508333333333,true
2009,Melaka,50.74152222148328,1.9763849506961784,5.0,2835.5033333333336,2835.508333333333,true
2009,Melaka,41.14617026293356,1.84216731256386,5.0,2835.5033333333336,2835.508333333333,true
2010,Melaka,85.48756673095409,0.3143836568865135,5.0,2259.41,2259.4066666666668,true
2010,Melaka,56.50804398952861,0.3137790729309625,5.0,2259.41,2259.4066666666668,true
2010,Melaka,55.51350338264724,0.3137790729309625,5.0,2259.41,2259.4066666666668,true
2010,Melaka,54.82427767331911,0.3137790729309625,5.0,2259.41,2259.4066666666668,true
2010,Melaka,54.42404309474436,0.3131744889754115,5.0,2259.41,2259.4066666666668,true
2010,Melaka,53.76202366341602,0.3131744889754115,5.0,2259.41,2259.4066666666668,true
