YEAR,ANNUAL RAINFALL,FLOOD
2009,2313.27,0
2010,2411.96,1
2000,2358.22,0
2001,2590.86,0
2002,2218.08,1
2003,2347.87,1
2004,2190.14,1
2005,2190.48,1
2006,2539.87,1
2007,2548.75,1
2008,2429.12,0
2009,2206.97,1
2010,2335.7,1
2000,2358.22,0
2001,2590.86,0
2002,2218.08,0
2003,2347.87,0
2004,2190.14,0
2005,2190.48,0
2006,2539.87,1
2007,2548.75,1
2008,2429.12,0
2009,2206.97,0
2010,2335.7,0
2000,2634.66,0
2001,2964.32,1
2002,2175.16,0
2003,2695.17,0
2004,2600.32,0
2005,2440.11,0
2006,2974.44,1
2007,3055.48,1
2008,2716.6,0
2009,2363.51,0
2010,2484.65,0
2000,2561.6,0
2001,2888.01,1
2002,2042.92,0
2003,2362.42,1
2004,2403.63,0
2005,2214.32,0
2006,2837.29,1
2007,2882.83,1
2008,2626.28,0
2009,2416.25,0
2010,2252.67,0
2000,2578.15,0
2001,2844.38,0
2002,2218.45,0
2003,2503.95,1
2004,2433.47,1
2005,2245.42,0
2006,2703.94,0
2007,2847.26,1
2008,2775.93,0
2009,2728.1,0
2010,2233.36,0
2000,2638.91,0
2001,2923.19,1
2002,2347.43,1
2003,2810.43,1
2004,2704.73,1
2005,2393.24,1
2006,2751.7,0
2007,3003.9,1
2008,2983.16,1
2009,3087.87,1
2010,2248.18,1
2000,2694.55,0
2001,2997.26,1
2002,2427.1,1
2003,3054.19,1
2004,2959.12,1
2005,2550.34,0
2006,2824.38,0
2007,3109.74,0
2008,3107.17,0
2009,3310.5,1
2010,2269.28,1
2000,2783.03,0
2001,3017.9,1
2002,2454.79,0
2003,3173.14,1
2004,3070.15,0
2005,2661.17,0
2006,2846.03,0
2007,3072.78,0
2008,3186.42,0
2009,3398.89,1
2010,2346.17,1
2000,2980.33,0
2001,2965.46,0
2002,2434.64,0
2003,3158.46,1
2004,2982.31,0
2005,2727.71,0
2006,2813.46,0
2007,2882.41,0
2008,3293.5,0
2009,3398.21,0
2010,2519.36,0
2000,3206.37,0
2001,2844.19,1
2002,2353.34,0
2003,2999.41,1
2004,2709.08,0
2005,2724.51,0
2006,2730.4,0
2007,2629.15,0
2008,3396.94,0
2009,3318.22,1
2010,2668.14,0
2000,3206.37,0
2001,2844.19,0
2002,2353.34,0
2003,2999.41,1
2004,2709.08,0
2005,2724.51,0
2006,2730.4,0
2007,2629.15,0
2008,3396.94,0
2009,3318.22,0
2010,2668.14,0
2000,3164.46,0
2001,2624.66,1
2002,2277.59,0
2003,2802.13,1
2004,2512.03,0
2005,2631.0,0
2006,2578.92,0
2007,2505.91,0
2008,3337.68,1
2009,3203.94,1
2010,2680.95,1
2000,3164.46,0
2001,2624.66,1
2002,2277.59,0
2003,2802.13,1
2004,2512.03,0
2005,2631.0,0
2006,2578.92,0
2007,2505.91,0
2008,3337.68,1
2009,3203.94,1
2010,2680.95,1
2000,3219.59,0
2001,2477.36,1
2002,2124.03,1
2003,2543.96,1
2004,2194.08,0
2005,2503.64,0
2006,2400.75,0
2007,2304.8,0
2008,3288.89,1
2009,3004.84,1
2010,2646.49,1
2000,3117.57,0
2001,2329.45,0
2002,2037.96,1
2003,2427.49,0
2004,2033.64,1
2005,2412.64,0
2006,2188.4,1
2007,2161.69,0
2008,3042.35,0
2009,2769.19,1
2010,2548.88,0
2000,2993.91,0
2001,2250.82,0
2002,1883.98,0
2003,2247.18,0
2004,1823.11,0
2005,2270.7,0
2006,2034.05,0
2007,2049.62,0
2008,2908.31,0
2009,2532.29,1
2010,2422.09,0
2000,3117.57,0
2001,2329.45,1
2002,2037.96,1
2003,2427.49,1
2004,2033.64,1
2005,2412.64,1
2006,2188.4,1
2007,2161.69,1
2008,3042.35,1
2009,2769.19,1
2010,2548.88,0
2000,2951.69,0
2001,2220.68,1
2002,1866.17,1
2003,2224.07,1
2004,1764.67,0
2005,2278.52,1
2006,1856.57,1
2007,1950.04,1
2008,2699.38,1
2009,2325.7,0
2010,2336.96,0
2000,2306.36,0
2001,2399.49,0
2002,1919.33,0
2003,2305.91,0
2004,2158.95,0
2005,2476.34,0
2006,2821.13,0
2007,2961.73,0
2008,3163.61,0
2009,2678.27,0
2010,3202.97,1
2000,2464.45,0
2001,2330.36,0
2002,1761.64,0
2003,2270.44,0
2004,2044.39,1
2005,2488.02,0
2006,3266.38,0
2007,2827.15,1
2008,3004.9,0
2009,2752.5,1
2010,2470.64,1
2000,2716.56,0
2001,2725.64,0
2002,1849.72,0
2003,2405.83,1
2004,2105.1,0
2005,2340.43,0
2006,4097.37,1
2007,2849.39,0
2008,3104.73,0
2009,3059.05,0
2010,2151.1,1
2000,2764.3,0
2001,2777.29,0
2002,1894.99,0
2003,2454.45,1
2004,2151.24,1
2005,2451.19,1
2006,4158.2,1
2007,2999.86,0
2008,3268.98,0
2009,3228.29,1
2010,2332.88,1
2000,3023.24,0
2001,3239.9,1
2002,2072.05,0
2003,2640.29,0
2004,2215.51,0
2005,2848.78,0
2006,4482.22,1
2007,3048.84,0
2008,3388.66,0
2009,3397.47,0
2010,2509.29,0
2000,2853.9,0
2001,3022.76,0
2002,1959.73,0
2003,2481.91,1
2004,2095.13,0
2005,2740.02,0
2006,4083.81,0
2007,2800.8,1
2008,3132.62,0
2009,3131.53,1
2010,2360.75,0
2000,3099.31,0
2001,3285.54,0
2002,2057.94,1
2003,2573.02,1
2004,2132.54,1
2005,3304.69,0
2006,3977.79,1
2007,2812.68,1
2008,3198.37,1
2009,3064.73,1
2010,2678.89,0
2000,3121.54,0
2001,3221.24,0
2002,2064.33,0
2003,2495.32,0
2004,2027.5,0
2005,3551.23,0
2006,3479.55,1
2007,2698.59,1
2008,3072.75,1
2009,2697.37,1
2010,2891.0,1
2000,3121.54,0
2001,3221.24,0
2002,2064.33,0
2003,2495.32,0
2004,2027.5,0
2005,3551.23,1
2006,3479.55,1
2007,2698.59,0
2008,3072.75,0
2009,2697.37,0
2010,2891.0,1
2000,3241.13,0
2001,3282.32,0
2002,2254.38,0
2003,2651.47,0
2004,2098.96,0
2005,3696.2,0
2006,3423.12,0
2007,2631.07,0
2008,2965.95,0
2009,2553.58,0
2010,2929.18,1
2000,3241.13,0
2001,3282.32,1
2002,2254.38,0
2003,2651.47,0
2004,2098.96,0
2005,3696.2,0
2006,3423.12,1
2007,2631.07,0
2008,2965.95,0
2009,2553.58,0
2010,2929.18,1
2000,3241.13,0
2001,3282.32,1
2002,2254.38,1
2003,2651.47,0
2004,2098.96,1
2005,3696.2,0
2006,3423.12,1
2007,2631.07,0
2008,2965.95,0
2009,2553.58,0
2010,2929.18,0
2000,2979.71,0
2001,3018.09,1
2002,2219.71,1
2003,2530.56,1
2004,2041.51,0
2005,3083.71,0
2006,3077.75,1
2007,2760.64,1
2008,3168.95,1
2009,2619.37,1
2010,3212.22,1
2000,2979.71,0
2001,3018.09,0
2002,2219.71,1
2003,2530.56,0
2004,2041.51,0
2005,3083.71,0
2006,3077.75,0
2007,2760.64,0
2008,3168.95,0
2009,2619.37,0
2010,3212.22,0
2000,3105.23,0
2001,3080.8,0
2002,2420.95,0
2003,2744.04,0
2004,2324.04,0
2005,2874.48,0
2006,2985.52,0
2007,3128.65,1
2008,3383.35,1
2009,2868.73,0
2010,3578.17,0
2000,3105.23,0
2001,3080.8,1
2002,2420.95,1
2003,2744.04,0
2004,2324.04,0
2005,2874.48,0
2006,2985.52,0
2007,3128.65,1
2008,3383.35,1
2009,2868.73,1
2010,3578.17,0
2000,3105.23,0
2001,3080.8,1
2002,2420.95,0
2003,2744.04,0
2004,2324.04,0
2005,2874.48,0
2006,2985.52,0
2007,3128.65,0
2008,3383.35,1
2009,2868.73,1
2010,3578.17,0
2000,3105.23,0
2001,3080.8,1
2002,2420.95,0
2003,2744.04,0
2004,2324.04,0
2005,2874.48,0
2006,2985.52,0
2007,3128.65,0
2008,3383.35,1
2009,2868.73,1
2010,3578.17,0
2000,3105.23,0
2001,3080.8,0
2002,2420.95,0
2003,2744.04,0
2004,2324.04,0
2005,2874.48,0
2006,2985.52,0
2007,3128.65,0
2008,3383.35,0
2009,2868.73,0
2010,3578.17,0
2000,3722.09,0
2001,3489.5,0
2002,3227.24,0
2003,4069.88,0
2004,3481.63,0
2005,2824.65,0
2006,3486.95,0
2007,4349.56,0
2008,4861.25,0
2009,4224.11,1
2010,3937.91,0
2000,3489.36,0
2001,3284.07,0
2002,3277.95,0
2003,4043.18,0
2004,3658.23,0
2005,2896.71,0
2006,3207.78,0
2007,4254.84,0
2008,4900.47,1
2009,4313.49,0
2010,3943.02,0
2000,3489.36,0
2001,3284.07,0
2002,3277.95,0
2003,4043.18,0
2004,3658.23,0
2005,2896.71,0
2006,3207.78,0
2007,4254.84,0
2008,4900.47,1
2009,4313.49,1
