STATE,DISTRICT,YEAR,FLOOD
104,104002,2002,1
104,104002,2003,0
104,104002,2004,1
104,104002,2005,0
104,104002,2006,1
104,104002,2007,1
104,104002,2008,1
104,104002,2009,1
104,104002,2010,1
104,104003,2000,0
104,104003,2001,1
104,104003,2002,1
104,104003,2003,0
104,104003,2004,1
104,104003,2005,1
104,104003,2006,1
104,104003,2007,1
104,104003,2008,1
104,104003,2009,1
104,104003,2010,0
101,101001,2000,0
101,101001,2001,0
101,101001,2002,0
101,101001,2003,0
101,101001,2004,0
101,101001,2005,0
101,101001,2006,1
101,101001,2007,1
101,101001,2008,0
101,101001,2009,0
101,101001,2010,0
101,101002,2000,0
101,101002,2001,1
101,101002,2002,0
101,101002,2003,0
101,101002,2004,0
101,101002,2005,0
101,101002,2006,1
101,101002,2007,1
101,101002,2008,0
101,101002,2009,0
101,101002,2010,1
101,101005,2000,0
101,101005,2001,0
101,101005,2002,1
101,101005,2003,1
101,101005,2004,1
101,101005,2005,1
101,101005,2006,1
101,101005,2007,1
101,101005,2008,0
101,101005,2009,1
101,101005,2010,1
101,101006,2000,0
101,101006,2001,0
101,101006,2002,0
101,101006,2003,0
101,101006,2004,0
101,101006,2005,0
101,101006,2006,1
101,101006,2007,1
101,101006,2008,0
101,101006,2009,0
101,101006,2010,0
101,101003,2000,0
101,101003,2001,1
101,101003,2002,0
101,101003,2003,0
101,101003,2004,0
101,101003,2005,0
101,101003,2006,1
101,101003,2007,1
101,101003,2008,0
101,101003,2009,0
101,101003,2010,0
101,101004,2000,0
101,101004,2001,1
101,101004,2002,0
101,101004,2003,1
101,101004,2004,0
101,101004,2005,0
101,101004,2006,1
101,101004,2007,1
101,101004,2008,0
101,101004,2009,0
101,101004,2010,0
106,106001,2000,0
106,106001,2001,0
106,106001,2002,0
106,106001,2003,1
106,106001,2004,1
106,106001,2005,0
106,106001,2006,0
106,106001,2007,1
106,106001,2008,0
106,106001,2009,0
106,106001,2010,0
106,106002,2000,0
106,106002,2001,1
106,106002,2002,1
106,106002,2003,1
106,106002,2004,1
106,106002,2005,1
106,106002,2006,0
106,106002,2007,1
106,106002,2008,1
106,106002,2009,1
106,106002,2010,1
106,106003,2000,0
106,106003,2001,1
106,106003,2002,1
106,106003,2003,1
106,106003,2004,1
106,106003,2005,0
106,106003,2006,0
106,106003,2007,0
106,106003,2008,0
106,106003,2009,1
106,106003,2010,1
111,111001,2000,0
111,111001,2001,1
111,111001,2002,0
111,111001,2003,1
111,111001,2004,0
111,111001,2005,0
111,111001,2006,0
111,111001,2007,0
111,111001,2008,0
111,111001,2009,1
111,111001,2010,1
111,111002,2000,0
111,111002,2001,0
111,111002,2002,0
111,111002,2003,1
111,111002,2004,0
111,111002,2005,0
111,111002,2006,0
111,111002,2007,0
111,111002,2008,0
111,111002,2009,0
111,111002,2010,0
111,111003,2000,0
111,111003,2001,1
111,111003,2002,0
111,111003,2003,1
111,111003,2004,0
111,111003,2005,0
111,111003,2006,0
111,111003,2007,0
111,111003,2008,0
111,111003,2009,1
111,111003,2010,0
111,111004,2000,0
111,111004,2001,0
111,111004,2002,0
111,111004,2003,1
111,111004,2004,0
111,111004,2005,0
111,111004,2006,0
