YEAR,STATE,forest_cover_percentage,deforestation_rate,flood_occurrences,TOTAL_RAINFALL,ANNUAL RAINFALL,has_flood_data
2005.0,Sabah,86.90748662760674,0.9869384412102348,2.0,3072.0,3071.996428571428,True
2005.0,Sabah,86.75668816350748,0.9865721950529368,2.0,3072.0,3071.996428571428,True
2005.0,Sabah,86.40444074822192,0.985975349463266,2.0,3072.0,3071.996428571428,True
2005.0,Sabah,85.10710190636551,0.9807936445711264,2.0,3072.0,3071.996428571428,True
2005.0,Sabah,79.60843131209313,0.9452270732957582,2.0,3072.0,3071.996428571428,True
2006.0,Sabah,94.57560955229664,1.1071350041663892,9.0,3590.7764285714284,3590.7757142857145,True
2006.0,Sabah,86.44254391325337,1.1026857915888448,9.0,3590.7764285714284,3590.7757142857145,True
2006.0,Sabah,86.08035359303081,1.1021432046891444,9.0,3590.7764285714284,3590.7757142857145,True
2006.0,Sabah,85.80603522121471,1.1014514063920262,9.0,3590.7764285714284,3590.7757142857145,True
2006.0,Sabah,85.65548092122032,1.101207242287161,9.0,3590.7764285714284,3590.7757142857145,True
2006.0,Sabah,85.30372183414447,1.1007189140774305,9.0,3590.7764285714284,3590.7757142857145,True
2006.0,Sabah,84.01098141626304,1.096120490102469,9.0,3590.7764285714284,3590.7757142857145,True
2006.0,Sabah,78.54782313457606,1.0606081775170708,9.0,3590.7764285714284,3590.7757142857145,True
2007.0,Sabah,93.72557935055332,0.8500302017433046,5.0,2793.727857142857,2793.7228571428573,True
2007.0,Sabah,85.59703074745008,0.8455131658032978,5.0,2793.727857142857,2793.7228571428573,True
2007.0,Sabah,85.23534232010972,0.8450112729210748,5.0,2793.727857142857,2793.7228571428573,True
2007.0,Sabah,84.96158009986583,0.8444551213488818,5.0,2793.727857142857,2793.7228571428573,True
2007.0,Sabah,84.81122926995882,0.8442516512614943,5.0,2793.727857142857,2793.7228571428573,True
2007.0,Sabah,84.45991781707524,0.8438040170692412,5.0,2793.727857142857,2793.7228571428573,True
2007.0,Sabah,83.17143670635645,0.8395447099065922,5.0,2793.727857142857,2793.7228571428573,True
2007.0,Sabah,77.73698127166362,0.8108418629124357,5.0,2793.727857142857,2793.7228571428573,True
2008.0,Sabah,92.57780458759936,1.147774762953957,3.0,3117.3657142857146,3117.365714285714,True
2008.0,Sabah,84.4559976267249,1.1410331207251785,3.0,3117.3657142857146,3117.365714285714,True
